# x	y	u	v	flags	mask
2.0721e-01	7.2109e+00	1.0682e-02	8.8839e-04	0.0000e+00	0.0000e+00
4.2478e-01	7.2109e+00	-1.7648e-02	-1.0047e-02	0.0000e+00	0.0000e+00
6.4235e-01	7.2109e+00	-9.2100e-03	-1.0749e-02	0.0000e+00	0.0000e+00
8.5993e-01	7.2109e+00	-3.3895e-03	-2.4144e-03	0.0000e+00	0.0000e+00
1.0775e+00	7.2109e+00	-2.8234e-03	1.8697e-03	0.0000e+00	0.0000e+00
1.2951e+00	7.2109e+00	3.5922e-03	-8.1527e-03	0.0000e+00	0.0000e+00
1.5126e+00	7.2109e+00	-9.1231e-04	8.8705e-04	0.0000e+00	0.0000e+00
1.7302e+00	7.2109e+00	4.7629e-04	1.9379e-03	0.0000e+00	0.0000e+00
1.9478e+00	7.2109e+00	5.0989e-03	2.0126e-03	0.0000e+00	0.0000e+00
2.1654e+00	7.2109e+00	5.4740e-04	1.1052e-03	0.0000e+00	0.0000e+00
2.3829e+00	7.2109e+00	-7.6744e-06	7.2026e-03	0.0000e+00	0.0000e+00
2.6005e+00	7.2109e+00	-6.1230e-03	6.0392e-03	0.0000e+00	0.0000e+00
2.8181e+00	7.2109e+00	5.2692e-04	6.5687e-02	0.0000e+00	0.0000e+00
3.0356e+00	7.2109e+00	-4.5063e-03	2.7307e-02	0.0000e+00	0.0000e+00
3.2532e+00	7.2109e+00	-1.8498e-03	3.2541e-02	0.0000e+00	0.0000e+00
3.4708e+00	7.2109e+00	-2.5514e-02	4.7516e-02	0.0000e+00	0.0000e+00
3.6884e+00	7.2109e+00	-3.3005e-04	2.2651e-03	0.0000e+00	0.0000e+00
3.9059e+00	7.2109e+00	2.2512e-03	-2.3678e-03	0.0000e+00	0.0000e+00
4.1235e+00	7.2109e+00	6.7293e-03	-3.7371e-03	0.0000e+00	0.0000e+00
4.3411e+00	7.2109e+00	-2.2627e-03	-7.5370e-04	0.0000e+00	0.0000e+00
4.5586e+00	7.2109e+00	9.5905e-03	-8.7101e-04	0.0000e+00	0.0000e+00
4.7762e+00	7.2109e+00	3.0842e-03	2.3345e-03	0.0000e+00	0.0000e+00
4.9938e+00	7.2109e+00	3.5130e-03	1.6357e-02	0.0000e+00	0.0000e+00
5.2114e+00	7.2109e+00	-1.4862e-03	2.2319e-03	0.0000e+00	0.0000e+00
5.4289e+00	7.2109e+00	-5.9368e-03	1.6051e-03	0.0000e+00	0.0000e+00
5.6465e+00	7.2109e+00	9.9923e-04	2.5014e-03	0.0000e+00	0.0000e+00
5.8641e+00	7.2109e+00	-7.2775e-03	-1.3251e-03	0.0000e+00	0.0000e+00
6.0816e+00	7.2109e+00	-8.8426e-03	-4.5984e-03	0.0000e+00	0.0000e+00
6.2992e+00	7.2109e+00	-7.0139e-03	-1.0517e-03	0.0000e+00	0.0000e+00
6.5168e+00	7.2109e+00	9.7792e-03	-9.0554e-03	0.0000e+00	0.0000e+00
6.7344e+00	7.2109e+00	-4.1459e-03	-1.5444e-02	0.0000e+00	0.0000e+00
6.9519e+00	7.2109e+00	-3.8610e-02	2.1148e-03	0.0000e+00	0.0000e+00
7.1695e+00	7.2109e+00	-3.9593e-03	-0.0000e+00	0.0000e+00	0.0000e+00
7.3871e+00	7.2109e+00	1.7915e-02	-6.6257e-03	0.0000e+00	0.0000e+00
7.6046e+00	7.2109e+00	8.4501e-04	-2.6902e-03	0.0000e+00	0.0000e+00
7.8222e+00	7.2109e+00	-1.3017e-02	1.5497e-03	0.0000e+00	0.0000e+00
8.0398e+00	7.2109e+00	-4.9133e-03	1.2155e-02	0.0000e+00	0.0000e+00
8.2574e+00	7.2109e+00	-1.4700e-03	5.8444e-03	0.0000e+00	0.0000e+00
8.4749e+00	7.2109e+00	1.5867e-02	8.0430e-05	0.0000e+00	0.0000e+00
8.6925e+00	7.2109e+00	0.0000e+00	5.0718e-03	0.0000e+00	0.0000e+00
8.9101e+00	7.2109e+00	-2.0938e-03	1.6333e-02	0.0000e+00	0.0000e+00
9.1276e+00	7.2109e+00	0.0000e+00	2.0070e-02	0.0000e+00	0.0000e+00
9.3452e+00	7.2109e+00	4.6195e-03	1.4031e-02	0.0000e+00	0.0000e+00
9.5628e+00	7.2109e+00	0.0000e+00	-0.0000e+00	0.0000e+00	0.0000e+00
9.7804e+00	7.2109e+00	2.6531e-03	-7.9507e-03	0.0000e+00	0.0000e+00
9.9979e+00	7.2109e+00	-2.8097e-03	-8.5400e-03	0.0000e+00	0.0000e+00
1.0215e+01	7.2109e+00	1.5443e-03	-3.0203e-03	0.0000e+00	0.0000e+00
1.0433e+01	7.2109e+00	5.4568e-03	-7.8746e-10	0.0000e+00	0.0000e+00
1.0651e+01	7.2109e+00	-9.2899e-03	-6.7308e-03	0.0000e+00	0.0000e+00
1.0868e+01	7.2109e+00	-7.7765e-03	-7.6194e-03	0.0000e+00	0.0000e+00
1.1086e+01	7.2109e+00	-7.8996e-03	2.0820e-02	0.0000e+00	0.0000e+00
1.1303e+01	7.2109e+00	-1.7780e-03	9.2563e-03	0.0000e+00	0.0000e+00
1.1521e+01	7.2109e+00	-3.7861e-03	-1.6846e-03	0.0000e+00	0.0000e+00
1.1738e+01	7.2109e+00	-5.5361e-03	8.0430e-03	0.0000e+00	0.0000e+00
1.1956e+01	7.2109e+00	0.0000e+00	1.9304e-02	0.0000e+00	0.0000e+00
1.2174e+01	7.2109e+00	-4.8008e-03	2.3299e-02	0.0000e+00	0.0000e+00
1.2391e+01	7.2109e+00	3.4313e-03	-6.7427e-03	0.0000e+00	0.0000e+00
1.2609e+01	7.2109e+00	6.1206e-06	5.5324e-03	0.0000e+00	0.0000e+00
1.2826e+01	7.2109e+00	2.7265e-05	3.1348e-03	0.0000e+00	0.0000e+00
1.3044e+01	7.2109e+00	-2.1865e-03	8.5745e-03	0.0000e+00	0.0000e+00
2.0721e-01	6.9934e+00	-7.3425e-03	7.4795e-03	0.0000e+00	0.0000e+00
4.2478e-01	6.9934e+00	-9.7197e-03	7.6945e-04	0.0000e+00	0.0000e+00
6.4235e-01	6.9934e+00	-3.0179e-03	-7.2552e-03	0.0000e+00	0.0000e+00
8.5993e-01	6.9934e+00	-6.2614e-03	-2.5755e-03	0.0000e+00	0.0000e+00
