# x	y	u	v	flags	mask
2.0721e-01	7.2109e+00	1.7755e-02	-5.0623e-03	1.0000e+00	0.0000e+00
4.2478e-01	7.2109e+00	1.7264e-02	-4.2705e-03	1.0000e+00	0.0000e+00
6.4235e-01	7.2109e+00	1.6684e-02	-3.3137e-03	1.0000e+00	0.0000e+00
8.5993e-01	7.2109e+00	1.6044e-02	-2.2264e-03	1.0000e+00	0.0000e+00
1.0775e+00	7.2109e+00	1.4874e-02	-2.4049e-04	1.0000e+00	0.0000e+00
1.2951e+00	7.2109e+00	1.3571e-02	2.0372e-03	1.0000e+00	0.0000e+00
1.5126e+00	7.2109e+00	1.2164e-02	4.5526e-03	1.0000e+00	0.0000e+00
1.7302e+00	7.2109e+00	1.0684e-02	7.2377e-03	1.0000e+00	0.0000e+00
1.9478e+00	7.2109e+00	9.2434e-03	9.8802e-03	1.0000e+00	0.0000e+00
2.1654e+00	7.2109e+00	7.8818e-03	1.2359e-02	1.0000e+00	0.0000e+00
2.3829e+00	7.2109e+00	6.6297e-03	1.4558e-02	1.0000e+00	0.0000e+00
2.6005e+00	7.2109e+00	5.5098e-03	1.6368e-02	1.0000e+00	0.0000e+00
2.8181e+00	7.2109e+00	4.5236e-03	1.7722e-02	1.0000e+00	0.0000e+00
3.0356e+00	7.2109e+00	3.6645e-03	1.8584e-02	1.0000e+00	0.0000e+00
3.2532e+00	7.2109e+00	2.9211e-03	1.8952e-02	1.0000e+00	0.0000e+00
3.4708e+00	7.2109e+00	2.2767e-03	1.8864e-02	1.0000e+00	0.0000e+00
3.6884e+00	7.2109e+00	1.7148e-03	1.8381e-02	1.0000e+00	0.0000e+00
3.9059e+00	7.2109e+00	1.2224e-03	1.7589e-02	1.0000e+00	0.0000e+00
4.1235e+00	7.2109e+00	7.8979e-04	1.6585e-02	1.0000e+00	0.0000e+00
4.3411e+00	7.2109e+00	4.0886e-04	1.5468e-02	1.0000e+00	0.0000e+00
4.5586e+00	7.2109e+00	7.3815e-05	1.4332e-02	1.0000e+00	0.0000e+00
4.7762e+00	7.2109e+00	-2.1920e-04	1.3252e-02	1.0000e+00	0.0000e+00
4.9938e+00	7.2109e+00	-4.7127e-04	1.2278e-02	1.0000e+00	0.0000e+00
5.2114e+00	7.2109e+00	-6.8358e-04	1.1438e-02	1.0000e+00	0.0000e+00
5.4289e+00	7.2109e+00	-8.5884e-04	1.0739e-02	1.0000e+00	0.0000e+00
5.6465e+00	7.2109e+00	-1.0012e-03	1.0166e-02	1.0000e+00	0.0000e+00
5.8641e+00	7.2109e+00	-1.1150e-03	9.6905e-03	1.0000e+00	0.0000e+00
6.0816e+00	7.2109e+00	-1.2039e-03	9.2747e-03	1.0000e+00	0.0000e+00
6.2992e+00	7.2109e+00	-1.2708e-03	8.8809e-03	1.0000e+00	0.0000e+00
6.5168e+00	7.2109e+00	-1.3181e-03	8.4768e-03	1.0000e+00	0.0000e+00
6.7344e+00	7.2109e+00	-1.3458e-03	8.0390e-03	1.0000e+00	0.0000e+00
6.9519e+00	7.2109e+00	-1.3523e-03	7.5548e-03	1.0000e+00	0.0000e+00
7.1695e+00	7.2109e+00	-1.3345e-03	7.0235e-03	1.0000e+00	0.0000e+00
7.3871e+00	7.2109e+00	-1.2907e-03	6.4563e-03	1.0000e+00	0.0000e+00
7.6046e+00	7.2109e+00	-1.2222e-03	5.8736e-03	1.0000e+00	0.0000e+00
7.8222e+00	7.2109e+00	-1.1349e-03	5.3020e-03	1.0000e+00	0.0000e+00
8.0398e+00	7.2109e+00	-1.0387e-03	4.7694e-03	1.0000e+00	0.0000e+00
8.2574e+00	7.2109e+00	-9.4740e-04	4.3020e-03	1.0000e+00	0.0000e+00
8.4749e+00	7.2109e+00	-8.7744e-04	3.9211e-03	1.0000e+00	0.0000e+00
8.6925e+00	7.2109e+00	-8.4579e-04	3.6410e-03	1.0000e+00	0.0000e+00
8.9101e+00	7.2109e+00	-8.6661e-04	3.4670e-03	1.0000e+00	0.0000e+00
9.1276e+00	7.2109e+00	-9.4824e-04	3.3957e-03	1.0000e+00	0.0000e+00
9.3452e+00	7.2109e+00	-1.0922e-03	3.4150e-03	1.0000e+00	0.0000e+00
9.5628e+00	7.2109e+00	-1.2937e-03	3.5074e-03	1.0000e+00	0.0000e+00
9.7804e+00	7.2109e+00	-1.5418e-03	3.6522e-03	1.0000e+00	0.0000e+00
9.9979e+00	7.2109e+00	-1.8219e-03	3.8287e-03	1.0000e+00	0.0000e+00
1.0215e+01	7.2109e+00	-2.1176e-03	4.0179e-03	1.0000e+00	0.0000e+00
1.0433e+01	7.2109e+00	-2.4132e-03	4.2047e-03	1.0000e+00	0.0000e+00
1.0651e+01	7.2109e+00	-2.6965e-03	4.3791e-03	1.0000e+00	0.0000e+00
1.0868e+01	7.2109e+00	-2.9593e-03	4.5361e-03	1.0000e+00	0.0000e+00
1.1086e+01	7.2109e+00	-3.1968e-03	4.6755e-03	1.0000e+00	0.0000e+00
1.1303e+01	7.2109e+00	-3.4076e-03	4.7993e-03	1.0000e+00	0.0000e+00
1.1521e+01	7.2109e+00	-3.5922e-03	4.9107e-03	1.0000e+00	0.0000e+00
1.1738e+01	7.2109e+00	-3.7529e-03	5.0128e-03	1.0000e+00	0.0000e+00
1.1956e+01	7.2109e+00	-3.8880e-03	5.1033e-03	1.0000e+00	0.0000e+00
1.2174e+01	7.2109e+00	-4.0009e-03	5.1848e-03	1.0000e+00	0.0000e+00
1.2391e+01	7.2109e+00	-4.0941e-03	5.2581e-03	1.0000e+00	0.0000e+00
1.2609e+01	7.2109e+00	-4.1441e-03	5.2977e-03	1.0000e+00	0.0000e+00
1.2826e+01	7.2109e+00	-4.1870e-03	5.3342e-03	1.0000e+00	0.0000e+00
1.3044e+01	7.2109e+00	-4.2221e-03	5.3658e-03	1.0000e+00	0.0000e+00
2.0721e-01	6.9934e+00	1.8593e-02	-5.2165e-03	1.0000e+00	0.0000e+00
4.2478e-01	6.9934e+00	1.8226e-02	-4.4390e-03	1.0000e+00	0.0000e+00
6.4235e-01	6.9934e+00	1.7807e-02	-3.4975e-03	1.0000e+00	0.0000e+00
8.5993e-01	6.9934e+00	1.7363e-02	-2.4246e-03	1.0000e+00	0.0000e+00
1.0775e+00	6.9934e+00	1.6560e-02	-4.6292e-04	1.0000e+00	0.0000e+00
1.2951e+00	6.9934e+00	1.5715e-02	1.7959e-03	1.0000e+00	0.0000e+00
1.5126e+00	6.9934e+00	1.4863e-02	4.3017e-03	1.0000e+00	0.0000e+00
1.7302e+00	6.9934e+00	1.4029e-02	6.9900e-03	1.0000e+00	0.0000e+00
1.9478e+00	6.9934e+00	1.3297e-02	9.6536e-03	1.0000e+00	0.0000e+00
2.1654e+00	6.9934e+00	1.2679e-02	1.2173e-02	1.0000e+00	0.0000e+00
2.3829e+00	6.9934e+00	1.2162e-02	1.4431e-02	1.0000e+00	0.0000e+00
2.6005e+00	6.9934e+00	1.1721e-02	1.6315e-02	1.0000e+00	0.0000e+00
2.8181e+00	6.9934e+00	1.1306e-02	1.7751e-02	1.0000e+00	0.0000e+00
3.0356e+00	6.9934e+00	1.0863e-02	1.8696e-02	1.0000e+00	0.0000e+00
3.2532e+00	6.9934e+00	1.0339e-02	1.9141e-02	1.0000e+00	0.0000e+00
3.4708e+00	6.9934e+00	9.6917e-03	1.9116e-02	1.0000e+00	0.0000e+00
3.6884e+00	6.9934e+00	8.8971e-03	1.8678e-02	1.0000e+00	0.0000e+00
3.9059e+00	6.9934e+00	7.9571e-03	1.7910e-02	1.0000e+00	0.0000e+00
4.1235e+00	6.9934e+00	6.8969e-03	1.6908e-02	1.0000e+00	0.0000e+00
4.3411e+00	6.9934e+00	5.7582e-03	1.5776e-02	1.0000e+00	0.0000e+00
4.5586e+00	6.9934e+00	4.5924e-03	1.4609e-02	1.0000e+00	0.0000e+00
4.7762e+00	6.9934e+00	3.4546e-03	1.3488e-02	1.0000e+00	0.0000e+00
4.9938e+00	6.9934e+00	2.3979e-03	1.2470e-02	1.0000e+00	0.0000e+00
5.2114e+00	6.9934e+00	1.4644e-03	1.1586e-02	1.0000e+00	0.0000e+00
5.4289e+00	6.9934e+00	6.7812e-04	1.0847e-02	1.0000e+00	0.0000e+00
5.6465e+00	6.9934e+00	4.5687e-05	1.0242e-02	1.0000e+00	0.0000e+00
5.8641e+00	6.9934e+00	-4.3991e-04	9.7398e-03	1.0000e+00	0.0000e+00
6.0816e+00	6.9934e+00	-7.9435e-04	9.3049e-03	1.0000e+00	0.0000e+00
6.2992e+00	6.9934e+00	-1.0388e-03	8.8982e-03	1.0000e+00	0.0000e+00
6.5168e+00	6.9934e+00	-1.1965e-03	8.4859e-03	1.0000e+00	0.0000e+00
6.7344e+00	6.9934e+00	-1.2880e-03	8.0433e-03	1.0000e+00	0.0000e+00
6.9519e+00	6.9934e+00	-1.3282e-03	7.5566e-03	1.0000e+00	0.0000e+00
7.1695e+00	6.9934e+00	-1.3263e-03	7.0242e-03	1.0000e+00	0.0000e+00
7.3871e+00	6.9934e+00	-1.2886e-03	6.4564e-03	1.0000e+00	0.0000e+00
7.6046e+00	6.9934e+00	-1.2219e-03	5.8736e-03	1.0000e+00	0.0000e+00
7.8222e+00	6.9934e+00	-1.1349e-03	5.3020e-03	1.0000e+00	0.0000e+00
8.0398e+00	6.9934e+00	-1.0387e-03	4.7694e-03	1.0000e+00	0.0000e+00
8.2574e+00	6.9934e+00	-9.4740e-04	4.3020e-03	1.0000e+00	0.0000e+00
8.4749e+00	6.9934e+00	-8.7744e-04	3.9211e-03	1.0000e+00	0.0000e+00
8.6925e+00	6.9934e+00	-8.4579e-04	3.6410e-03	1.0000e+00	0.0000e+00
8.9101e+00	6.9934e+00	-8.6661e-04	3.4670e-03	1.0000e+00	0.0000e+00
9.1276e+00	6.9934e+00	-9.4824e-04	3.3957e-03	1.0000e+00	0.0000e+00
9.3452e+00	6.9934e+00	-1.0922e-03	3.4150e-03	1.0000e+00	0.0000e+00
